,State,VEP_Counted,VEP,Minor,Cast,VAP,Democrat,Republican,Year,Counted,Type,Treatment,White,Black,Hispanic,American Indian/Alaska Native,Asian,Native Hawaiian/Other Pacific Islander,Two Or More Races,Total,Footnotes,OtherRace,Treatment2
79,North Dakota,2.2,"524,296",,"11,349","534,626",,"11,349",2012,,Caucus,,593700,10800,14700,34200,7200,,8700,671900,,,0
186,North Dakota,0.7,"578,789",,,"594,043","4,000",,2016,"4,000",Caucus,,619700,18600,22500,41400,5900,,17100,725900,,,0
211,North Dakota,2.6,"563,581",,,"583,251","14,405",,2020,"14,405",Primary,,655268,20445,,39462,10814,378,18306,752201,,7528,0
44,Ohio,42.4,"8,502,366",,"3,603,523","8,732,630","2,354,721","1,095,917",2008,,Primary,,9210900,1276300,285400,19500,176500,,188100,11157500,,,NA
80,Ohio,20.4,"8,593,587",,"1,755,965","8,854,904","542,086","1,213,879",2012,,Primary,,9073800,1333600,359300,19500,190000,3700,242100,11222100,,,NA
161,Ohio,37.5,"8,738,019","4,043",,"9,004,337","1,259,754","2,014,396",2016,"3,278,193",Primary,,8975800,1365400,402900,13100,225000,3200,293300,11278700,,,NA
29,Oklahoma,29.1,"2,584,090",,"752,261","2,735,269","417,207","335,054",2008,,Primary,,2507300,238200,267200,214200,59200,3800,219000,3508800,,,3
81,Oklahoma,14.7,"2,723,104",,"399,294","2,895,300","112,771","286,523",2012,,Primary,,2510800,253500,346000,272100,65800,3200,238000,3689500,,,3
140,Oklahoma,28.6,"2,781,841",,,"2,966,460","335,843","459,922",2016,"795,765",Primary,,2520400,260900,391400,275300,71800,7200,273800,3800800,,,3
201,Oklahoma,21.2,"2,833,921",,,"3,018,262","304,281","295,601",2020,"599,882",Primary,,2837772,287959,,294676,83392,4471,303110,3918137,,106757,3
56,Oregon,43.2,"2,711,305",,"1,170,526","2,927,075","641,499","353,476",2008,,Primary,,2963100,63000,408300,34800,124100,8400,110200,3711900,,,NA
